Kebangsaan,2020,2019,2018,2017,2016
Brunei Darussalam,2701,19278,17279,23455,23695
Malaysia,980118,2980753,2503344,2121888,1541197
Filipina,50413,260980,217874,308977,298909.60
Singapura,280492,1934445,1768744,1554119,1515699.40
Thailand,21303,136699,124153,138235,124569
Vietnam,19608,96024,75816,77466,60986
Myanmar,12669,46381,28612,48133,44720
Hong Kong,2625,50324,91182,98272,101369
India,111724,657300,595636,536902,422045
Jepang,92228,519623,530573,573310,545392
Korea Selatan,75562,388316,358885,423191,386789
Pakistan,4110,14663,13448,11424,10100
Bangladesh,12866,59777,56564,56503,39028
Sri Lanka,4300,28907,32508,35669,24258
Taiwan,35680,207490,208317,264278,252849
Tionghoa,239768,2072079,2139161,2093171,1556771
Timor Leste,994590,1178381,1762422,960026
Saudi Arabia,31906,157512,165912,182086,197681
Bahrain,373,2631,2324,2457,2243
Kuwait,846,5762,5551,5760,6368
Mesir,4337,21354,18075,20345,19948
Uni Emirat Arab,1093,9065,7100,8387,9016
Yaman,2094,9221,10008,8453,9478
Qatar,225,1989,2104,1859,1856
Austria,4858,28476,29492,27208,24375
Belgia,5902,46780,50050,48477,43607
Denmark,10533,45090,46825,43721,36380
Perancis,43438,283814,287917,274117,256229
Jerman,46361,277653,274166,267823,243873
Italia,13260,91229,94288,90022,79424
Belanda,53495,215287,209978,210426,200811
Spanyol,11829,83373,85560,81690,68840
Portugal,6245,35434,36804,33223,29286
Swedia,17600,56402,50381,51417,45934
Swiss,8362,57484,60293,61191,56700
Inggris,69997,397624,392112,378131,352017
Finlandia,6376,22665,27127,24447,21031
Norwegia,5072,23886,24906,22838,19478
Rusia,67491,158943,125728,117532,88520
Amerika Serikat,91782,457832,387856,344766,316782
Kanada,23200,103616,97908,96139,86807
Amerika Tengah,529,2786,2629,7542,2538
Amerika Selatan,15142,65630,62868,71915,55256
Australia,256291,1386803,1301478,1256927,1302292
Selandia Baru,19947,149010,128366,106914,105393
Papua Nugini,20975,78433,142648,141299
Afrika Selatan,7350,47657,41962,38073,29223
